,Benign,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack-Brute Force,Web Attack-Sql Injection,Web Attack-XSS
Benign,255121,9967,7266,954,1746,615,140,1113,3,516,1263,145,5297,0,151
Bot,9,207,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,4,2,19194,2,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,7,0,3,1532,0,1,0,0,0,0,0,0,0,0,0
DoS Hulk,1981,1,53,27,23845,0,0,0,0,0,20,0,0,0,0
DoS Slowhttptest,6,0,0,2,0,768,5,0,0,2,0,0,1,0,0
DoS slowloris,5,0,0,1,0,15,784,0,0,0,0,0,2,0,1
FTP-Patator,4,0,0,0,0,0,0,883,0,0,1,0,1,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,15,0,0,1,0,0,0,0,0,0,277,0,0,0,1
SSH-Patator,24,0,0,0,0,0,0,0,0,0,4,442,13,0,0
Web Attack-Brute Force,13,0,0,0,0,0,0,0,0,0,0,0,205,0,2
Web Attack-Sql Injection,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
Web Attack-XSS,4,0,0,0,0,0,0,0,0,0,0,0,94,0,0
