Class,Model_A_Precision,Model_A_Recall,Model_A_F1,Model_B_Precision,Model_B_Recall,Model_B_F1,Delta_F1,Delta_Precision,Delta_Recall
SSH-Patator,0.753,0.9151,0.8262,0.3952,0.9041,0.55,-0.2762,-0.3578,-0.011
FTP-Patator,0.4424,0.9933,0.6121,0.2083,0.9403,0.341,-0.2711,-0.2341,-0.053
DoS GoldenEye,0.6079,0.9929,0.7541,0.4464,0.9913,0.6156,-0.1385,-0.1615,-0.0015
DDoS,0.7239,0.9996,0.8397,0.5746,0.9986,0.7295,-0.1102,-0.1492,-0.001
DoS slowloris,0.8439,0.9703,0.9027,0.7048,0.9669,0.8153,-0.0874,-0.1391,-0.0034
PortScan,0.177,0.9422,0.298,0.1648,0.9556,0.281,-0.017,-0.0122,0.0134
Web Attack-Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack-XSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benign,0.9919,0.8974,0.9423,0.9994,0.8979,0.946,0.0037,0.0075,0.0006
DoS Hulk,0.9318,0.9197,0.9257,0.9322,0.952,0.942,0.0163,0.0004,0.0323
Bot,0.0203,0.9583,0.0398,0.039,0.9394,0.075,0.0351,0.0187,-0.0189
DoS Slowhttptest,0.549,0.9796,0.7036,0.6404,0.9661,0.7703,0.0667,0.0915,-0.0135
Web Attack-Brute Force,0.0365,0.9318,0.0703,0.1379,0.9412,0.2406,0.1703,0.1014,0.0094
Heartbleed,0.4,1.0,0.5714,1.0,1.0,1.0,0.4286,0.6,0.0
Infiltration,0.0077,0.8,0.0152,0.5,0.5,0.5,0.4848,0.4923,-0.3
